CardNumber,Field,OBR,SP,HITRUN,CD,SAC,INJ,1BF,1B7,1B8,1B9,2B7,2B8,2B9,3B8,HR,K,W,HPB,OUT,CHT,BD
"1","","D","E","0","0","BB","8","","","","","","","","","","11-74","75","","76-88","P","0"
"2","","D","E","0","0","BB","8","11","","12","","","","","","","13-67","68","","71-88","P","0"
"3","","D","E","0","0","AA","8","11","12","13","14","","15","","","","16-55","56","","57-88","P","0"
"4","","D","E","0","0","AA","8","11","12-13","14-15","16-17","","18","21","","","22-53","54","","55-88","P","0"
"5","","D","E","0","0","AA","8","11","12-14","15-17","18-22","23","","24","","","25-51","52","","53-88","P","0"
"6","","D","E","0","0","AA","8","11","12-15","16-21","22-25","26","27","28","","","31-48","51","52","53-88","P","0"
"7","","D","E","0","0","AA","8","11","12-16","17-23","24-28","31","32","33","34","","35-48","51","52","53-88","P","0"
"8","","D","E","0","0","AA","8","11","","12","","","13","","","14","15-64","65","","66-88","P","0"
"9","","C","D","0","0","AA","8","11","12","13-14","15-16","17","18-21","22","","23","24-51","52","","53-88","P","0"
"10","","C","D","0","0","AA","8","11","12-14","15-18","21-24","25-26","27-28","31-32","33","34","35-48","51","52","53-88","P","0"
